Name,National_Count,NYC_Count,NYC % of National
Yariel,427,22,5.152%
Yaseen,533,12,2.251%
Yasmin,1433,24,1.675%
Yasmina,177,11,6.215%
Yasmine,771,12,1.556%
Yassin,250,14,5.600%
Yechiel,247,68,27.530%
Yehoshua,294,48,16.327%
Yehuda,847,161,19.008%
Yehudis,281,45,16.014%
Yeshaya,111,11,9.910%
Yidel,46,10,21.739%
Yides,139,45,32.374%
Yisrael,220,14,6.364%
Yisroel,762,149,19.554%
Yitty,249,99,39.759%
Yitzchak,154,25,16.234%
Yitzchok,557,66,11.849%
Yocheved,252,56,22.222%
Yoel,436,28,6.422%
Yosef,1337,110,8.227%
Yossi,82,33,40.244%
Yousef,977,32,3.275%
Youssef,601,47,7.820%
Yusuf,1585,39,2.461%
Zachariah,2613,10,0.383%
Zachary,23923,301,1.258%
Zahir,558,14,2.509%
Zahra,1087,14,1.288%
Zaiden,3094,14,0.452%
Zain,1431,12,0.839%
Zainab,1027,48,4.674%
Zaire,1041,47,4.515%
Zalmen,65,12,18.462%
Zamir,511,10,1.957%
Zane,6626,10,0.151%
Zaniyah,1450,10,0.690%
Zara,2361,94,3.981%
Zariah,2433,11,0.452%
Zayan,344,18,5.233%
Zayden,7099,39,0.549%
Zelda,614,23,3.746%
Zendaya,625,13,2.080%
Zev,580,98,16.897%
Zion,7416,103,1.389%
Zissy,134,45,33.582%
Zoe,24579,256,1.042%
Zoey,28453,131,0.460%
Zoya,749,16,2.136%
Zuri,2037,37,1.816%
